"","game_year","player_name","arm_angle","arm_slot","throws","pitch_name","avg_pitch_velo","avg_release_spin","height"
"11898",2019,"David Price",69.86,"Three-Quarters","L","Changeup",84.2,1794.47,6.42
"11899",2019,"Dylan Bundy",50.98,"Three-Quarters","R","4-Seam Fastball",91.13,2459.06,6.08
"11900",2019,"Dakota Hudson",53.95,"Three-Quarters","R","Slider",87.46,2428.22,6.42
"11901",2019,"David Price",67.44,"Three-Quarters","L","4-Seam Fastball",91.93,2210.96,6.42
"11902",2019,"Dylan Bundy",54.08,"Three-Quarters","R","Slider",81.05,2572.19,6.08
"11903",2019,"Dereck Rodriguez",30.71,"Three-Quarters","R","2-Seam Fastball",89.99,2058.76,6
"11904",2019,"Jon Gray",43.38,"Three-Quarters","R","Curveball",78.71,2518.91,6.33
"11905",2019,"Dakota Hudson",52.88,"Three-Quarters","R","Curveball",81.88,2197.56,6.42
"11906",2019,"Jon Gray",54.46,"Three-Quarters","R","4-Seam Fastball",96.03,2063.6,6.33
"11907",2019,"Mike Leake",71.63,"Side Arm","R","Knuckle Curve",79.25,2571.95,5.83
"11908",2019,"Mike Leake",71.43,"Side Arm","R","4-Seam Fastball",88.64,2087.71,5.83
"11909",2019,"David Price",70.69,"Side Arm","L","Cutter",88.55,2192.8,6.42
"11910",2019,"Mike Leake",72.44,"Side Arm","R","Slider",80.17,2506.61,5.83
"11911",2019,"Jon Gray",55.67,"Three-Quarters","R","2-Seam Fastball",95.46,1797,6.33
"11912",2019,"Jon Gray",46.8,"Three-Quarters","R","Slider",88.35,2220.43,6.33
"11913",2019,"David Price",67.86,"Three-Quarters","L","2-Seam Fastball",91.94,2189.13,6.42
"11914",2019,"Mike Leake",72.08,"Side Arm","R","Cutter",86.65,2232.12,5.83
"11915",2019,"Jorge Lopez",51.57,"Three-Quarters","R","Changeup",87.42,1573.52,6.17
"11916",2019,"Mike Leake",72.81,"Side Arm","R","Sinker",88.25,2023.91,5.83
"11917",2019,"Brandon Woodruff",48.08,"Three-Quarters","R","Slider",88.4,2320.57,6.33
"11918",2019,"Mike Leake",72.41,"Side Arm","R","Changeup",84.04,1720.06,5.83
"11919",2019,"Shelby Miller",56.62,"Three-Quarters","R","Cutter",88.63,2189.41,6.25
"11920",2019,"Liam Hendriks",41.25,"Three-Quarters","R","Slider",88.44,2151.81,6
"11921",2019,"Trevor Richards",45.17,"Three-Quarters","R","Cutter",85.3,2031.62,6.17
"11922",2019,"Liam Hendriks",39.96,"Three-Quarters","R","4-Seam Fastball",96.39,2378.98,6
"11923",2019,"Noah Syndergaard",31.22,"Three-Quarters","R","Sinker",97.53,2106.62,6.5
"11924",2019,"Tyler Chatwood",56.78,"Three-Quarters","R","Curveball",81.46,3090.62,5.92
"11925",2019,"Jaime Barria",34.3,"Three-Quarters","R","Slider",83.83,2244.71,6.08
"11926",2019,"Liam Hendriks",40.45,"Three-Quarters","R","Curveball",84.29,2100.84,6
"11927",2019,"Jaime Barria",43.28,"Three-Quarters","R","Changeup",83.24,1479.29,6.08
"11928",2019,"Jaime Barria",31.03,"Three-Quarters","R","2-Seam Fastball",91.55,2213.86,6.08
"11929",2019,"Jaime Barria",29.41,"Overhand","R","4-Seam Fastball",91.63,2246.1,6.08
